,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
37,4,1,1,33,7,76548.6,0,0,1,98453.45,0
38,4,0,1,36,7,0.0,0,1,1,40812.9,0
39,1,2,1,41,6,70349.48,0,0,1,178074.04,0
40,0,1,1,40,4,0.0,0,1,0,70154.22,0
41,0,0,0,51,8,122522.32,0,0,0,181297.65,1
42,0,0,0,61,2,117419.35,0,1,1,94153.83,0
43,4,0,0,49,2,131394.56,0,0,0,194365.76,1
44,1,1,0,61,5,155931.11,0,1,1,158338.39,0
45,3,2,0,32,4,109421.13,0,1,1,126517.46,0
46,4,2,0,27,9,112045.67,0,1,1,119708.21,1
47,1,2,0,39,9,137843.8,0,1,1,117622.8,1
48,0,2,1,38,2,103391.38,0,0,1,90878.13,0
49,3,2,0,37,2,103769.22,0,1,0,194099.12,0
50,2,2,1,44,10,116363.37,0,1,0,198059.16,0
51,1,2,1,36,5,146050.97,0,0,0,86424.57,0
52,3,0,0,33,5,0.0,0,0,0,116978.19,0
53,1,2,1,41,8,125561.97,0,0,0,164040.94,1
54,1,2,1,42,1,98495.72,0,1,0,40014.76,1
55,1,0,1,43,1,125211.92,0,1,1,113410.49,0
56,1,0,1,45,5,127864.4,0,1,0,87107.57,0
57,2,2,1,19,0,75888.2,0,0,0,45613.75,0
58,0,1,0,66,4,0.0,0,1,0,1643.11,1
59,1,0,1,51,4,40685.92,0,1,1,46775.28,0
60,3,2,1,35,5,136857.0,0,0,0,84509.57,0
61,2,2,0,27,9,152328.88,0,0,0,126494.82,0
62,0,1,1,33,1,56084.69,0,0,0,178798.13,0
63,2,1,1,56,8,78707.16,0,1,1,99398.36,0
64,1,2,1,26,4,109166.37,0,1,1,92840.67,0
65,3,2,0,36,6,169831.46,0,1,1,27758.36,0
66,1,2,0,34,1,101633.04,0,1,0,110431.51,0
67,2,2,1,43,10,123180.01,0,1,1,196673.28,0
68,1,2,0,35,5,150725.53,0,0,1,113656.85,0
69,2,0,0,21,8,98373.26,0,1,0,18203.0,0
70,2,2,1,58,2,133745.44,1,1,0,28373.86,1
71,4,0,1,29,6,0.0,0,1,0,33953.87,0
72,1,1,0,37,0,163607.18,0,0,1,44203.55,0
73,1,2,0,25,5,157780.84,0,1,1,58426.81,0
74,0,0,1,36,9,0.0,0,0,1,145562.4,0
75,2,0,0,21,1,178718.19,0,1,0,22388.0,0
76,1,0,1,55,8,0.0,0,1,1,139161.64,0
77,2,0,0,32,9,0.0,0,1,1,148210.64,0
78,3,1,1,33,5,77253.22,0,0,1,194239.63,0
79,0,2,0,41,10,122189.66,0,1,0,98301.61,0
80,1,0,0,34,1,96645.54,0,0,0,171413.66,0
81,3,0,0,32,2,0.0,0,1,0,136458.19,1
82,0,0,0,36,3,0.0,0,0,0,26019.59,0
83,0,0,0,34,4,90307.62,0,1,1,159235.29,0
84,0,0,0,46,4,0.0,0,1,0,1907.66,0
85,1,1,0,75,10,0.0,0,1,1,114675.75,0
86,3,1,1,22,3,121681.82,0,1,0,128643.35,1
87,2,0,1,30,9,0.0,0,1,0,151869.35,0
88,1,0,0,46,4,0.0,1,1,0,93251.42,1
89,1,2,0,28,3,81623.67,0,1,1,156791.36,0
90,1,1,0,44,5,0.0,1,1,1,174205.22,1
91,4,0,1,45,7,118626.55,0,1,0,147132.46,0
92,0,0,0,36,10,0.0,0,1,0,109614.57,0
93,3,0,1,29,8,0.0,0,1,1,172290.61,0
94,2,1,1,42,4,0.0,0,0,1,85982.47,0
95,0,1,1,35,10,176273.95,0,0,1,121277.78,0
96,3,1,1,41,9,102827.44,0,0,1,64595.25,0
97,4,2,1,29,8,97086.4,0,1,1,197276.13,0
98,2,1,1,22,8,0.0,0,0,0,99645.04,0
99,0,0,1,34,9,0.0,0,0,0,6534.18,0
100,1,0,0,40,6,0.0,0,1,1,161848.03,0
101,1,0,0,44,6,0.0,0,0,0,167162.43,0
102,2,0,1,31,9,82674.15,0,1,0,41970.72,0
103,0,1,1,36,7,0.0,0,1,0,60536.56,0
104,1,1,0,65,1,0.0,0,1,1,177655.68,1
105,1,1,0,46,4,107073.27,0,1,1,30984.59,1
106,1,2,1,32,1,88938.62,0,1,1,10054.53,0
107,3,2,0,36,2,99806.85,0,0,1,36976.52,0
108,1,1,1,33,5,150092.8,0,0,0,71862.79,0
109,0,2,1,35,9,92833.89,0,1,0,99449.86,1
110,2,2,1,30,3,90536.81,0,0,1,63082.88,0
111,0,2,1,39,7,108055.1,0,1,0,27231.26,0
112,0,0,1,42,2,100238.35,0,0,0,86797.41,0
113,2,1,1,36,9,106190.55,0,0,1,22994.32,0
114,2,2,1,28,9,154475.54,0,0,1,101300.94,1
115,1,2,0,30,9,132351.29,0,1,1,74169.13,0
116,1,2,0,37,6,167864.4,0,1,0,115638.29,0
117,0,0,0,41,1,0.0,0,1,0,31766.3,0
118,0,2,0,31,8,107818.63,0,1,0,199725.39,1
119,2,2,1,34,4,185173.81,0,1,0,120834.48,0
120,4,0,1,34,8,129433.34,0,0,0,38131.77,0
121,2,1,1,39,6,120193.42,0,0,0,100130.95,0
122,1,0,0,39,6,0.0,0,1,0,141069.88,0
123,2,2,0,48,10,126384.42,0,1,1,198129.36,0
124,1,0,0,28,3,0.0,0,0,0,183646.41,0
125,0,0,1,42,9,152603.45,0,1,0,110265.24,1
126,0,0,0,52,1,0.0,0,0,1,8636.05,1
127,1,2,1,56,0,148507.24,0,1,0,46824.08,1
128,4,0,0,41,7,0.0,0,1,0,171378.77,0
129,3,0,1,24,9,101827.07,0,1,0,167256.35,0
130,3,0,0,34,3,0.0,0,1,1,124226.16,0
131,3,2,0,33,9,130862.43,0,1,1,114935.21,0
132,2,0,1,38,9,122570.87,0,1,1,35608.88,0
133,2,0,1,25,1,0.0,0,0,1,16459.37,0
134,3,2,1,39,7,124828.46,0,1,1,124411.08,0
135,1,2,0,50,5,144895.05,0,1,1,34941.23,0
136,0,2,0,34,5,63663.93,0,0,1,167784.28,0
137,1,0,1,40,2,133463.1,0,0,1,93165.34,0
138,1,1,0,48,2,213146.2,0,1,0,75161.25,1
139,0,1,0,35,1,129490.36,0,0,1,8590.83,1
140,3,2,1,44,10,137452.09,0,1,0,189543.9,0
141,1,0,1,34,7,0.0,0,1,1,180427.24,0
142,2,0,0,43,5,125851.93,0,1,1,193318.33,0
143,3,1,1,52,2,0.0,0,1,0,159123.82,1
144,2,0,0,31,5,40915.55,0,1,0,126213.84,1
145,0,1,0,21,5,113157.22,0,1,1,54141.5,0
146,1,1,0,29,8,138296.94,0,1,0,141075.51,0
147,1,0,1,37,5,106967.18,0,0,0,24495.03,0
148,2,0,1,44,9,120681.63,0,1,0,74836.34,0
149,0,0,1,32,0,0.0,0,0,1,878.87,0
150,3,1,0,32,7,0.0,0,1,0,89520.75,0
151,0,0,0,48,9,0.0,0,1,0,149892.79,1
152,2,1,1,42,8,0.0,0,1,0,180800.42,0
153,0,0,1,37,2,127609.59,0,1,0,98646.22,0
154,1,0,0,43,6,0.0,0,1,1,109041.53,0
155,2,1,1,57,7,0.0,0,1,0,17941.16,1
156,3,0,0,33,7,0.0,0,0,0,82996.47,0
157,1,1,0,28,2,0.0,0,1,1,92067.35,0
158,1,0,0,73,6,97259.25,0,0,1,104719.66,0
159,1,2,0,33,4,123246.7,0,0,0,112687.57,0
160,2,1,0,22,6,101060.25,0,0,1,84699.56,0
161,2,0,1,30,2,0.0,0,1,0,83473.82,0
162,3,0,0,49,7,108007.36,0,0,0,47125.11,0
163,2,1,0,36,2,0.0,0,1,1,106977.8,0
164,2,1,1,29,0,133702.89,0,1,0,55582.54,1
165,1,2,1,31,9,125189.75,0,1,1,139874.43,0
166,2,2,0,24,7,113034.22,0,1,0,162503.48,1
167,1,1,0,41,9,109013.23,0,1,0,196499.96,0
168,1,1,0,39,2,0.0,0,1,0,40721.24,1
169,2,2,1,24,9,57929.81,0,0,0,53134.3,0
170,0,0,0,29,4,130114.39,0,1,0,164017.89,0
171,1,2,1,27,5,95826.49,0,1,0,155996.96,0
172,0,2,1,44,10,129608.57,0,1,0,5472.7,1
173,0,0,1,30,4,169462.09,0,1,0,112187.11,0
174,0,0,1,40,5,0.0,0,1,1,146457.83,0
175,0,1,0,35,7,133868.21,0,1,1,27286.1,0
176,0,0,0,30,0,0.0,0,1,1,130553.47,0
177,1,2,1,36,5,190479.48,0,0,0,179351.89,0
178,1,1,0,40,8,101993.12,0,0,1,94774.12,0
179,3,2,0,55,3,161608.81,0,1,0,8080.85,1
180,4,1,0,45,2,122311.21,0,1,1,19482.5,0
181,0,0,1,65,2,0.0,0,1,1,48071.61,0
182,3,2,0,45,1,162150.42,0,1,0,174531.27,0
183,1,0,1,42,2,0.0,0,1,1,55470.78,0
184,4,0,0,50,4,0.0,0,1,1,8546.87,1
185,0,0,1,32,8,0.0,0,1,0,95857.18,0
186,2,0,0,39,1,99010.67,0,1,0,194945.8,0
187,0,1,0,37,0,0.0,0,0,1,131521.72,0
188,1,1,1,30,5,0.0,0,0,1,196108.51,0
189,2,2,0,34,7,111388.18,0,1,0,148564.76,0
190,2,0,0,41,8,56214.85,0,0,0,92982.61,1
191,0,0,0,36,3,84327.77,0,1,0,17675.36,0
192,0,0,1,40,1,0.0,0,0,0,114996.43,0
193,1,0,1,32,8,93012.89,0,1,0,86957.42,0
194,0,1,1,29,9,61710.44,0,1,0,128077.8,0
195,4,0,1,35,3,174790.15,0,1,1,600.36,0
196,1,1,0,32,6,0.0,0,1,1,43001.46,0
197,2,2,1,37,3,107720.64,0,1,1,158591.12,0
198,0,0,1,57,10,0.0,0,1,1,47847.19,0
199,0,0,1,35,6,96423.84,0,1,0,10488.44,0
200,4,1,1,30,2,141040.01,0,1,1,5978.2,0
201,3,0,1,42,4,105420.18,0,0,1,121409.06,0
202,0,1,1,50,5,0.0,0,0,1,146145.93,1
203,2,0,0,38,2,129022.06,0,1,1,14374.86,1
204,0,1,1,33,3,176666.62,0,1,0,94670.77,0
205,0,0,1,37,3,0.0,0,1,1,179670.31,0
206,1,1,0,41,3,89763.84,0,0,0,199304.74,1
207,1,0,1,34,5,134954.53,0,1,1,151954.39,0
208,1,0,1,45,5,0.0,0,1,0,142513.5,1
209,2,0,1,45,2,106376.85,0,0,1,158264.62,0
210,2,2,1,33,2,161814.64,0,1,0,169381.9,0
211,1,0,1,31,8,0.0,0,1,1,169915.02,0
212,1,0,0,41,9,0.0,0,0,0,88852.47,0
213,2,0,0,34,1,63095.01,0,1,1,40645.81,0
214,0,2,1,26,4,118287.01,0,0,0,60427.3,0
215,1,2,1,47,7,106854.21,0,0,1,157959.02,1
216,2,0,1,46,7,49512.55,0,1,0,133007.34,0
217,2,1,0,33,9,0.0,0,0,0,176576.62,0
218,4,0,1,43,1,105799.32,0,1,0,34888.04,1
219,1,0,1,54,8,0.0,0,1,1,28737.71,1
220,2,0,0,31,9,114722.05,0,1,1,98178.57,0
221,0,1,1,30,7,0.0,0,0,1,125010.24,0
222,0,0,1,42,2,0.0,0,1,1,167984.61,0
223,4,0,1,33,10,0.0,0,1,0,4861.72,1
224,2,2,1,45,6,99564.22,0,1,1,108872.45,1
225,1,0,1,37,4,170557.91,0,1,0,198252.88,0
226,2,0,0,30,9,0.0,0,1,1,26960.31,0
227,0,2,0,39,6,74596.15,1,1,1,85746.52,1
228,3,2,1,50,2,96888.39,0,1,0,77206.25,1
229,1,2,0,29,3,130830.22,0,1,0,61048.53,0
230,2,0,1,72,1,0.0,0,0,1,111981.19,0
231,1,0,1,40,0,0.0,0,1,0,62232.6,0
232,0,0,0,37,1,0.0,0,0,1,156105.03,0
233,3,2,1,20,3,119714.25,0,0,1,150135.38,0
234,1,0,0,67,5,113978.97,0,0,1,93146.11,0
235,3,2,1,42,6,100160.75,0,1,0,33462.94,1
236,2,0,0,29,2,0.0,0,1,1,144375.0,0
237,0,2,0,43,3,116220.5,1,1,0,55803.96,1
238,1,0,0,46,2,0.0,1,1,0,89048.46,1
239,2,0,1,28,2,81173.83,0,0,1,162812.16,0
240,1,1,1,38,4,0.0,0,1,0,136259.65,0
241,2,2,0,39,5,116803.8,0,1,0,124052.97,0
242,2,0,1,37,8,105961.68,0,0,1,74158.8,0
243,1,2,1,67,6,117411.6,0,1,1,45071.09,1
244,0,1,1,34,7,0.0,0,1,0,62030.06,0
245,1,0,0,40,10,123497.58,0,1,0,131953.23,1
246,3,2,1,26,7,152400.51,0,1,0,79414.0,0
247,0,0,0,26,1,0.0,0,1,1,199638.56,0
248,1,2,1,24,8,103097.85,0,1,1,157577.29,0
249,2,2,1,54,8,126418.14,0,1,0,134420.75,1
250,3,2,0,36,5,77846.9,0,0,0,99805.99,0
251,1,1,0,34,1,0.0,0,1,1,97932.68,0
252,2,0,0,79,0,0.0,0,0,1,170968.99,0
253,0,2,1,37,2,79731.91,0,1,1,57558.95,0
254,2,1,1,28,8,0.0,0,0,0,176713.47,0
255,3,1,1,41,0,0.0,0,0,1,34283.23,0
256,2,0,1,34,10,0.0,0,1,1,198637.34,0
257,2,2,0,34,6,37266.67,0,0,0,156917.12,0
258,2,0,0,30,6,127992.25,0,1,1,50457.2,0
259,4,2,1,38,3,54901.01,0,1,1,140075.55,0
260,2,2,1,42,9,108748.08,0,1,1,65323.11,0
261,2,1,0,48,6,99906.19,0,1,0,64323.24,0
262,0,0,0,32,6,184686.41,0,1,0,14956.44,0
263,2,0,0,26,0,110654.02,0,0,1,111879.21,0
264,2,1,1,31,9,79019.8,0,1,1,18606.23,0
265,0,1,0,36,9,99240.51,0,1,0,123137.01,0
266,0,0,1,34,2,0.0,0,1,1,148528.24,0
267,1,0,1,36,7,0.0,0,1,0,13898.31,0
268,0,1,0,39,7,0.0,0,0,0,81259.25,1
269,3,2,0,35,7,52436.2,0,1,0,161051.75,0
270,1,1,1,41,9,0.0,0,0,1,191599.67,0
271,2,2,1,34,3,100337.96,1,1,0,48559.19,1
272,4,2,0,34,1,149297.19,0,1,1,186339.74,0
273,2,0,1,30,8,0.0,0,1,0,33159.37,0
274,2,2,1,28,4,145605.44,0,0,1,93883.53,0
275,2,1,0,37,7,0.0,0,1,1,110899.3,0
276,3,0,1,62,3,0.0,0,1,1,11199.04,1
277,3,0,0,53,10,0.0,0,1,0,189992.97,0
278,1,0,1,35,6,84026.86,0,0,1,164255.69,0
279,2,0,1,46,1,0.0,0,1,0,152167.79,1
280,3,0,1,39,8,0.0,0,1,1,33949.67,0
281,3,1,1,29,10,0.0,0,1,1,68143.93,0
282,0,2,1,35,4,138718.92,0,1,1,47251.79,1
283,4,0,1,42,7,118274.71,0,1,1,25885.72,0
284,3,0,0,22,8,174185.98,0,0,1,192633.85,0
285,2,0,1,40,7,113208.86,0,1,0,34577.36,0
286,1,1,1,29,5,103907.28,0,1,0,161229.84,0
287,0,0,0,32,8,119023.28,0,1,0,100816.29,0
288,3,1,0,26,5,166297.89,0,1,1,181694.44,0
289,1,1,1,34,10,0.0,0,1,0,79078.91,0
290,2,2,1,42,9,63227.0,0,0,1,137316.32,0
291,3,1,0,41,5,94521.17,0,1,0,194926.86,0
292,1,0,1,27,7,0.0,0,1,0,51285.49,0
293,3,1,0,34,9,112822.26,0,0,0,150401.53,1
294,2,0,1,38,3,0.0,0,1,1,112491.96,0
295,3,0,1,25,2,135903.33,0,1,0,73656.38,0
296,2,0,0,31,4,125169.26,0,1,1,106636.89,0
297,2,1,0,44,7,0.0,1,1,0,155853.52,1
298,0,0,1,58,0,149117.31,0,1,1,162599.51,0
299,1,0,1,33,5,0.0,0,1,1,103737.82,0
300,2,0,0,31,10,0.0,0,1,0,160990.27,0
301,1,1,0,36,6,132311.71,0,0,0,15462.84,0
302,2,0,1,35,8,0.0,0,1,0,10334.05,0
303,2,0,0,33,6,0.0,0,1,1,190686.16,0
304,0,0,1,33,4,118082.89,0,0,0,94440.45,0
305,1,0,1,31,1,119266.69,0,1,1,28257.63,0
306,2,0,1,43,2,0.0,0,1,1,170034.95,1
307,1,2,1,35,7,156847.29,0,1,0,31824.29,0
308,1,0,1,50,4,137104.47,0,1,0,127166.49,1
309,0,2,1,31,8,78398.69,0,1,0,44937.01,0
310,1,0,0,80,4,0.0,0,1,1,188603.07,0
311,2,2,1,30,6,63669.42,0,1,0,145111.37,0
312,1,0,1,38,3,0.0,0,0,0,171463.83,0
313,4,2,0,59,0,135296.33,0,1,0,182822.5,0
314,3,1,1,36,2,153804.44,0,1,1,87213.33,0
315,0,1,1,37,3,0.0,0,0,0,57175.32,0
316,0,0,1,49,2,147069.78,0,1,0,120540.83,1
317,2,1,1,42,9,0.0,0,1,1,28714.34,0
318,1,1,0,22,3,0.0,0,1,0,85426.28,0
319,0,0,1,24,4,95741.75,0,1,0,46170.75,0
320,0,1,0,57,2,145965.33,0,1,1,64448.36,0
321,2,0,0,30,8,141441.75,0,1,1,16278.97,0
322,3,0,1,40,1,139290.41,0,1,0,182855.42,1
323,3,0,0,31,4,0.0,0,0,0,50404.72,0
324,2,0,1,30,3,0.0,0,1,0,107640.25,0
325,2,0,1,35,4,144428.87,0,1,0,134132.65,0
326,1,0,1,35,2,0.0,0,1,0,103480.69,0
327,1,0,0,46,9,95441.27,0,1,0,108761.05,1
328,2,2,1,35,1,144848.74,0,1,1,179012.3,0
329,1,2,1,26,7,116244.14,0,1,1,95145.14,0
330,1,0,1,50,7,0.0,0,0,1,72143.44,0
331,1,1,0,40,1,146502.07,0,1,0,19162.89,0
332,1,2,1,44,2,117028.6,0,0,1,144680.18,0
333,1,2,0,30,8,112013.81,0,1,0,177772.03,1
334,1,1,0,37,6,108269.37,0,1,0,5597.94,0
335,0,0,1,29,7,182123.79,0,1,0,116828.51,1
336,1,2,0,32,3,150923.74,0,0,1,174652.51,0
337,1,0,1,33,2,0.0,0,1,0,2010.98,0
338,4,1,0,39,5,165272.13,0,1,0,14109.85,1
339,2,2,0,39,10,115301.31,0,1,0,43527.4,1
340,1,2,0,40,6,129502.49,0,0,1,86099.23,1
341,1,0,1,31,4,118342.26,0,0,0,161574.19,0
342,0,1,0,47,5,0.0,0,1,1,38970.14,0
343,0,0,1,22,8,0.0,0,0,0,127587.22,0
344,2,0,0,25,7,0.0,0,1,0,30380.12,0
345,4,0,0,43,7,0.0,0,1,0,90908.95,0
346,1,2,0,34,9,106937.05,0,1,0,138275.01,0
347,1,2,1,59,3,170331.37,0,1,1,32171.79,0
348,1,2,0,32,1,114510.85,0,1,1,126143.23,0
349,1,0,1,39,5,0.0,0,1,1,129892.93,0
350,1,1,1,32,3,107594.11,0,1,1,102416.84,0
351,3,1,1,39,2,81273.13,0,1,1,18719.67,0
352,0,1,0,32,7,169399.6,0,1,0,61936.22,0
353,1,1,1,25,6,0.0,0,1,1,78358.94,0
354,1,0,0,45,1,187841.99,0,1,1,147224.27,0
355,0,0,1,30,0,0.0,0,1,0,160979.66,0
356,4,1,0,57,8,126776.3,0,1,1,132298.49,0
357,0,1,1,34,9,126436.29,0,1,0,174248.52,1
358,2,0,1,41,1,101960.74,0,1,1,123547.28,0
359,0,0,1,58,3,0.0,0,0,1,32790.02,0
360,2,1,1,28,3,0.0,0,0,1,181543.67,0
361,1,2,0,45,2,150842.93,0,0,1,2319.96,1
362,1,0,0,50,9,102535.57,0,1,1,189543.19,0
363,0,2,0,29,9,99027.61,0,1,0,10940.4,0
364,1,0,1,68,9,0.0,0,1,1,199493.38,0
365,1,1,0,33,3,0.0,0,1,1,188193.25,0
366,0,2,0,42,9,87271.41,0,1,0,172572.64,0
367,0,2,0,35,8,102742.91,0,1,1,189339.6,0
368,1,2,1,34,2,40105.51,0,0,1,53512.16,0
369,1,0,0,29,2,152265.43,0,1,0,34004.44,0
370,4,1,1,42,4,141947.67,0,1,1,10598.29,0
371,1,2,0,75,1,106307.91,0,0,1,113428.77,0
372,1,2,1,31,0,107884.81,0,1,1,183487.98,0
373,4,2,1,31,1,125013.72,0,1,1,187658.09,0
374,2,2,1,35,7,58469.37,0,1,1,172459.39,0
375,3,0,0,39,8,0.0,0,0,1,21016.0,0
376,3,2,1,45,10,117231.63,1,1,1,122381.02,1
377,0,1,1,35,4,152390.26,0,1,0,128123.66,0
378,1,1,0,30,2,34013.63,0,1,0,19570.63,0
379,2,1,0,39,2,0.0,1,0,0,188150.6,1
380,0,0,0,50,9,0.0,0,1,1,111020.24,0
381,2,0,1,36,7,101583.11,0,1,0,123775.15,0
382,0,2,0,30,10,77168.87,0,0,1,146700.22,0
383,2,2,1,28,8,124695.72,0,1,0,145251.35,0
384,2,2,1,44,3,105934.96,0,1,0,82463.69,0
385,0,0,0,66,9,0.0,0,1,1,15928.49,0
386,1,1,1,46,6,0.0,0,1,0,45886.33,0
387,2,1,1,62,2,0.0,0,1,1,186489.95,0
388,2,1,0,45,2,0.0,0,0,1,162922.65,0
389,0,0,0,21,10,161525.96,0,1,0,9262.77,0
390,2,2,0,29,7,147199.07,0,1,1,84932.4,0
391,3,2,1,38,3,183102.29,0,1,1,71557.12,0
392,1,1,1,46,9,127209.0,0,1,0,77405.95,1
393,0,1,1,38,8,0.0,0,0,0,417.41,1
394,1,1,0,24,0,97378.54,0,1,1,71405.17,0
395,1,2,0,37,2,136925.09,0,0,1,153400.24,0
396,0,0,1,33,3,54503.55,0,1,1,371.05,0
397,0,2,1,32,8,155726.85,0,1,0,67789.99,0
398,2,0,0,39,9,0.0,0,0,1,145894.9,0
399,1,0,0,66,1,135842.41,0,1,0,183840.51,1
400,1,0,1,52,1,63349.75,0,1,0,108887.44,0
401,1,2,0,38,4,129499.42,0,1,1,154071.27,0
402,3,1,1,52,8,0.0,0,0,1,179291.85,0
403,0,1,1,36,6,70438.01,0,0,1,56937.43,0
404,2,0,1,23,8,0.0,0,1,1,112239.03,0
405,2,0,1,36,9,0.0,0,1,0,45909.87,0
406,0,1,0,49,9,141434.04,0,0,0,173779.25,1
407,1,1,0,37,4,0.0,0,1,0,125696.26,0
408,1,2,1,37,10,152958.29,0,1,1,159585.61,0
409,0,2,0,41,3,138306.34,0,1,0,106761.47,0
410,2,1,1,23,10,0.0,0,0,0,129590.18,0
411,4,0,1,38,1,0.0,0,1,1,80006.65,0
412,3,1,0,31,3,124328.84,0,1,1,140451.52,0
413,2,2,0,41,9,181461.48,1,1,1,187929.43,1
414,3,1,1,35,8,0.0,0,1,0,167155.36,0
415,1,1,1,26,8,0.0,0,0,0,191420.71,0
416,0,2,0,61,5,110368.03,0,0,0,11384.45,1
417,0,0,0,39,9,89588.35,0,1,1,94898.1,0
418,1,0,0,46,6,0.0,0,0,0,106781.59,0
419,1,0,0,28,6,0.0,0,0,0,159508.52,0
420,3,2,0,60,3,115924.89,0,1,0,93524.19,1
421,1,0,0,38,2,0.0,0,1,0,87168.46,0
422,0,2,1,40,7,111756.5,0,1,0,8128.32,1
423,2,0,0,35,4,0.0,0,1,0,125518.32,0
424,1,0,1,39,9,0.0,0,1,0,48963.59,0
425,1,0,1,26,9,162923.85,0,1,0,98368.24,0
426,0,2,1,39,10,124576.65,0,1,0,148584.61,0
427,2,0,1,45,0,80793.58,0,1,1,27474.81,0
428,0,2,0,40,9,71340.09,0,1,0,76192.21,0
429,0,2,1,40,1,99282.63,0,0,0,134600.94,1
430,1,2,1,57,3,137946.39,0,1,1,72467.99,1
431,2,2,1,41,2,127892.57,0,0,1,199645.45,0
432,0,2,0,33,0,101084.36,0,1,0,42749.85,0
433,0,2,0,37,8,114754.08,0,1,0,136050.44,1
434,2,0,1,33,8,0.0,0,0,0,73564.44,0
435,3,0,0,51,3,99286.98,0,0,1,85578.63,0
436,1,2,0,30,4,79871.02,0,1,0,129826.89,0
437,0,0,1,35,10,104088.59,0,0,0,119666.0,0
438,3,0,0,38,2,168190.33,0,1,0,68052.08,0
439,0,2,0,42,3,85679.25,0,1,1,164104.74,0
440,1,0,0,35,3,0.0,0,0,0,80190.36,0
441,3,0,0,31,9,0.0,0,1,0,84126.75,0
442,0,0,0,34,7,121551.58,0,1,1,70179.0,0
443,3,0,1,46,2,122220.19,0,1,1,118024.1,0
444,0,1,1,47,3,116528.15,0,0,0,145704.19,1
445,3,0,0,26,1,77780.29,0,0,1,183049.41,0
446,2,0,1,37,2,0.0,0,0,0,120906.83,0
447,0,0,1,40,4,125832.2,0,1,1,100433.83,0
448,2,0,0,38,6,68065.8,0,0,0,138777.0,1
449,3,1,0,47,6,127299.34,0,1,0,124694.99,0
450,0,2,0,38,7,174937.64,0,1,0,40084.32,0
451,4,0,1,40,9,0.0,0,0,1,119232.33,0
452,1,1,1,31,7,110071.1,0,0,0,43921.36,0
453,1,1,0,44,3,139432.37,0,1,0,62222.81,0
454,3,0,0,39,6,127357.76,0,0,1,56577.0,0
455,0,0,1,36,5,0.0,0,1,0,164253.35,0
456,2,0,1,33,3,0.0,0,1,1,7666.73,0
457,2,0,1,38,3,0.0,0,1,0,68487.51,0
458,0,2,1,43,1,95556.31,0,0,1,199273.98,1
459,1,1,1,37,8,0.0,0,1,1,186062.36,0
460,0,2,1,29,1,111681.98,0,1,1,195711.16,0
461,0,0,1,39,3,0.0,0,1,0,36692.17,0
462,0,1,0,25,3,108738.71,0,1,0,106920.57,0
463,1,0,0,32,4,133950.37,0,1,1,48725.68,1
464,4,1,1,26,4,0.0,0,1,1,167036.94,0
465,1,0,1,33,9,89968.69,0,1,0,68777.26,0
466,4,1,0,32,9,0.0,0,1,1,18924.92,0
467,4,2,0,38,5,130878.75,1,1,0,71905.77,1
